Date,Open,High,Low,Close,
12-May-23,49426,49881.09,49282.09,49768.18,342.18
15-May-23,49869.67,50149.01,49613.91,50045.35,175.68
16-May-23,50178.53,50182.08,49765.71,49864.72,-313.81
17-May-23,49841.38,49968.68,49313.3,49588.43,-252.95
18-May-23,50054.92,50054.92,49556.56,49642.55,-412.37
19-May-23,49813.41,49974.72,49428.78,49922.25,108.84
22-May-23,49799.45,49955.67,49577.13,49797.66,-1.79
23-May-23,49900.76,50003.58,49737.25,49821.34,-79.42
24-May-23,49668.78,49945.12,49517.87,49565.64,-103.14
25-May-23,49481.18,49638.87,49273.11,49595.54,114.36
26-May-23,49634.91,50023.28,49466.32,49960.5,325.59
29-May-23,50118.95,50471.88,50118.95,50262.74,143.79
30-May-23,50269.71,50503.38,50193.07,50442,172.29
31-May-23,50317.98,50343.07,49715.83,50017.52,-300.46
01-Jun-23,50062.91,50069.56,49521.46,49605.22,-457.69
02-Jun-23,49800.41,49961.53,49646.35,49789.92,-10.49
05-Jun-23,49913.59,50226.16,49913.59,50027.58,113.99
06-Jun-23,50010.84,50290.96,50003.65,50230.52,219.68
07-Jun-23,50346.88,50401.19,50179.4,50296.35,-50.53
08-Jun-23,50264.1,50418.91,49807.22,49894.08,-370.02
09-Jun-23,49889.24,50129.84,49808.03,49874.11,-15.13
12-Jun-23,49902.73,49971.43,49769.49,49827.87,-74.86
13-Jun-23,49742.03,50015.58,49741.2,49951.06,209.03
14-Jun-23,49984.97,50049.97,49761.45,49814.18,-170.79
15-Jun-23,49777.21,49909.49,49140.66,49174.88,-602.33
16-Jun-23,49242.1,49840.44,49242.1,49682.85,440.75
19-Jun-23,49759.91,49805.99,49126.88,49266.14,-493.77
20-Jun-23,49272.5,49527.52,48960.45,49458.23,185.73
21-Jun-23,49554.75,49628.15,49369.43,49545.74,-9.01
22-Jun-23,49582.5,49794.44,49397.81,49453.47,-129.03
23-Jun-23,49365.2,49516.44,49236.91,49292.31,-72.89
26-Jun-23,49333.03,49467.2,49205.96,49296.96,-36.07
27-Jun-23,49495.02,49956.23,49355.71,49886.99,391.97
28-Jun-23,50149.39,50296,49908.81,50107.1,-42.29
30-Jun-23,50244.47,50533.05,50176.38,50500.57,256.1
03-Jul-23,50668.65,51092.89,50549.24,50894.92,226.27
04-Jul-23,51053.11,51444.86,50752.51,51050.2,-2.91
05-Jul-23,51002.31,51193.6,50824.15,50912.67,-89.64
06-Jul-23,50860.07,51235.99,50693.94,51153.54,293.47
07-Jul-23,50971.48,51060.71,50605.66,50739.46,-232.02
10-Jul-23,50768.6,50999.38,50477.09,50630.78,-137.82
11-Jul-23,50756.34,50901.54,50352.77,50450.11,-306.23
12-Jul-23,50560,50647.42,50262.72,50337.32,-222.68
13-Jul-23,50686.89,50873,50375.3,50440.58,-246.31
14-Jul-23,50600.49,50727.79,50234.62,50559.62,-40.87
17-Jul-23,50644.49,51401.47,50410.33,51291.95,647.46
18-Jul-23,51512.58,51756.88,51071.96,51207.91,-304.67
19-Jul-23,51379.66,51539.2,51269.46,51492.87,113.21
20-Jul-23,51478.12,52286,51453.52,52212.53,734.41
21-Jul-23,52078.54,52499.23,51952.86,52122.78,44.24
24-Jul-23,52206.07,52206.07,51757.34,51836.97,-369.1
25-Jul-23,52125.86,52140.81,51365.94,51646.91,-478.95
26-Jul-23,51686.42,51989.24,51642.02,51950.6,264.18
27-Jul-23,52086.42,52224.94,51415.54,51550,-536.42
28-Jul-23,51471.37,51579.14,51060.37,51319.66,-151.71
31-Jul-23,51291.43,51479.51,51179.11,51432.39,140.96
01-Aug-23,51409.73,51560.09,51194.19,51331.27,-78.46
02-Aug-23,50871.19,51137.18,50339.12,50635.91,-235.28
03-Aug-23,50459.93,50662.93,49820.1,50098.46,-361.47
04-Aug-23,50322.95,50758.26,50082.72,50428.55,105.6
07-Aug-23,50519.73,50525.64,50276.42,50325.76,-193.97
08-Aug-23,50368.45,50639.3,50319.07,50491.32,122.87
09-Aug-23,50441.56,50450.25,50030.99,50380.42,-61.14
10-Aug-23,50340.5,50481.23,49867.99,49973.3,-367.2
11-Aug-23,49988.31,49988.31,49537.07,49608.24,-380.07
14-Aug-23,49473.73,49622.74,49174.87,49462.31,-11.42
16-Aug-23,49200.48,49388.75,48957.08,49329.85,129.37
17-Aug-23,49249.94,49456.94,49101.34,49243.8,-6.14
18-Aug-23,49182.8,49342.25,48985.28,49214.03,31.23
21-Aug-23,49225.62,49532.41,49210.21,49390.65,165.03
22-Aug-23,49509.27,49535.67,49312.2,49366.53,-142.74
23-Aug-23,49456.32,50010.55,49322.02,49957.6,501.28
24-Aug-23,50142.2,50512.37,49944.1,50008.14,-134.06
25-Aug-23,49851.5,49910.92,49460.05,49774.49,-77.01
28-Aug-23,49760.23,50170.31,49253.33,50049.78,289.55
29-Aug-23,50171.96,50200.38,49941,49999.79,-172.17
30-Aug-23,50126.79,50320.24,49613.95,49696.41,-430.38
31-Aug-23,49740.61,49940.67,49321.42,49371.95,-368.66
01-Sep-23,49408.91,50047.81,49233.89,49912.19,503.28
04-Sep-23,49994.13,50094.13,49682.38,49937.6,-56.53
05-Sep-23,49959.49,50064.49,49801.79,49912.85,-46.64
06-Sep-23,49836.7,49936.45,49506.14,49732.59,-104.11
07-Sep-23,49745.76,50318.24,49658.81,50287.7,541.94
08-Sep-23,50370.68,50854.94,50210.81,50573,202.32
11-Sep-23,50826.67,51170.81,50660.44,51107.64,280.97
12-Sep-23,51406.13,51460.78,50922.01,51124.52,-281.61
13-Sep-23,51038.66,51662.09,50914.39,51578.11,539.45
14-Sep-23,51685.42,51819.32,51449.95,51629.15,-56.27
15-Sep-23,51707.13,51929.93,51657.38,51844.91,137.78
18-Sep-23,51680.63,51888.57,51529.23,51611.36,-69.27
20-Sep-23,51143.7,51468.25,50969.93,51066.98,-76.72
21-Sep-23,50932.29,50966.65,50136.95,50172.77,-759.52
22-Sep-23,50225.55,50619.55,50132.43,50201.45,-24.1
